City_Name,Year_T,Unempl_Rate,Prop_in_Sec_Ind,Pop_Density,GRP,GRP_Growth,Prop_of_Sci_Exp,Prop_of_Edu_Exp,Num_of_School,Avg_Income,Net_Flow_T+1
Quzhou,1997,0.011,0.223,270,1334083,0.057,0.002,0.149,1,7026,-0.0012
Jinhua,1997,0.006,0.313,403,4619568,0.092,0.016,0.197,2,7314,-0.0008
Shaoxing,1997,0.005,0.42,520,5945503,0.193,0.007,0.161,1,8342,-0.0044
Huzhou,1997,0.008,0.325,438,2961650,0.111,0.006,0.238,1,7288,-0.0062
Jiaxing,1997,0.01,0.406,841,4197460,0.105,0.011,0.175,2,7602,-0.0054
Wenzhou,1997,0.008,0.299,601,6058218,0.163,0.01,0.194,3,8013,0.009
Ningbo,1997,0.009,0.441,569,8974306,0.137,0.004,0.065,3,9674,-0.0024
Hangzhou,1997,0.019,0.373,366,10363299,0.154,0.008,0.137,20,9178,-0.0002
Suqian,1997,0.006,0.166,571,1446946,0.151,0.001,0.086,0,4593,0.0063
Taizhou,1997,0.005,0.311,858,3177639,0.127,0.002,0.108,0,5466,-0.0034
Zhoushan,1997,0.007,0.242,715,891533,0.079,0.009,0.202,2,8369,-0.0069
Zhenjiang,1997,0.007,0.431,691,3605427,0.08,0.004,0.15,6,7155,-0.0061
Yancheng,1997,0.005,0.253,527,4214760,0.2,0.009,0.135,2,5395,-0.0031
Lianyungang,1997,0.005,0.223,587,2385282,0.153,0.009,0.116,3,5578,0.0098
Nantong,1997,0.004,0.342,983,5774733,0.129,0.007,0.137,4,6664,-0.006
Suzhou,1997,0.005,0.523,677,11325941,0.202,0.004,0.105,7,8443,-0.0067
Changzhou,1997,0.005,0.42,775,4701069,0.106,0.003,0.118,3,8507,-0.002
Xuzhou,1997,0.004,0.245,770,5150180,0.082,0.005,0.15,4,6520,0.0052
Wuxi,1997,0.007,0.529,903,9600128,0.222,0.005,0.153,2,8612,-0.0072
Nanjing,1997,0.012,0.409,813,7550549,0.126,0.009,0.101,30,8847,-0.0014
Shanghai,1997,0.019,0.488,2348,33602100,0.127,0.013,0.147,39,11425,-0.0069
Heihe,1997,0.019,0.195,24,766801,0.083,0.007,0.192,1,4041,0.0037
Yangzhou,1997,0.008,0.361,672,3766734,0.108,0.002,0.159,2,6827,-0.0061
Mudanjiang,1997,0.019,0.345,79,1568407,0.11,0.003,0.108,3,4134,0.0001
